Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Sales growth 5years median,Sales growth 7Years,Sales growth 10Years,EBIDT growth 3Years,EBIDT growth 5Years,EBIDT growth 7Years,EBIDT growth 10Years,EPS growth 3Years,EPS growth 5Years,EPS growth 7Years,EPS growth 10Years,Profit growth 7Years,Profit growth 10Years,Change in promoter holding 3Years,Average Earnings 5Year,Average Earnings 10Year,Average EBIT 5Year,Average EBIT 10Year,Market Capitalization,Debt to equity
20 Microns,533022,20MICRONS,INE144J01027,Minerals & Mining,Industrial Minerals,146.5,14.43,11.48,9.88,14.27,12.03,9.95,13.69,23,21.46,18.11,35.52,18.11,36.05,0.21,44.13,31.63,77.63,64.3,516.94,0.36
3B Blackbio,532067,,INE994E01018,Healthcare Services,Healthcare Service Provider,1265,19.86,22.57,17.7,13.98,42.97,41.63,46.51,9,40.23,39.69,65.56,45.64,70.47,2.85,50.33,26.95,67.89,36.61,1085.72,0
5paisa Capital,540776,5PAISA,INE618L01018,Capital Markets,Stockbroking & Allied,282.95,16.67,51.48,41.26,38.84,67.88,29.23,31.98,62.77,55.26,22.72,14.24,24.71,34.44,0.09,39.08,12.61,75.69,31.29,1326.55,0.46
63 Moons Tech.,526881,63MOONS,INE111B01023,IT - Software,Computers - Software & Consulting,507.1,0.02,-24.09,-13.92,-1.37,,,5.78,-8.23,1.07,,5.46,,5.46,0,14.38,-15.05,23.39,11.02,2336.62,0
Aarti Drugs,524348,AARTIDRUGS,INE767A01016,Pharmaceuticals & Biotechnology,Pharmaceuticals,335.25,9.14,9.76,8.09,-3.76,2.8,6.07,5.89,-5.94,4.46,11.26,8.74,10.75,8.09,-4.63,198.26,144.79,294.93,232.37,3059.83,0.39
Aarti Pharma,543748,AARTIPHARM,INE0LRU01027,Pharmaceuticals & Biotechnology,Pharmaceuticals,629.8,14.17,,,31.34,,,,,,,,,,,160.91,,230.76,,5709.62,0.32
Aayush Art,540718,,INE777X01017,Textiles & Apparels,Other Textile Products,1105.9,26.83,27.65,60.26,105.27,79.05,60.41,,42.09,30.47,34.43,,64.19,,-18.15,0.38,0.18,0.52,0.27,1693.38,0
ABM Knowledge,531161,,INE850B01026,IT - Software,Software Products,215,6.04,3.95,,7.33,2.71,3.33,,-0.8,-1.71,-0.03,,-0.03,,-0.01,15.34,,21.79,,430.05,0
ACC,500410,ACC,INE012A01025,Cement & Cement Products,Cement & Cement Products,1344.55,9.04,7.3,6.45,8.54,8.63,10.42,8.97,6.62,11.16,13.92,7.29,13.92,7.29,0,1768.38,1402.97,2335.75,1879.75,25248.94,0.02
Accelya Solution,532268,ACCELYA,INE793A01012,IT - Software,Computers - Software & Consulting,1165.35,8.9,4.73,5.73,12.83,5.22,4.18,5.4,18.76,8.03,5.24,6.58,5.24,6.58,0,96.03,94.28,135.3,138.25,1739.43,0.33
Accent Microcell,,ACCENTMIC,INE0Q5D01013,Pharmaceuticals & Biotechnology,Pharmaceuticals,358.4,19.05,,,48.32,30.49,,,50.93,10.06,,,,,,17.44,,24.09,,859.77,0
Ace Soft. Exp.,531525,,INE849B01010,IT - Software,Software Products,191,10.51,20.19,18.21,169.82,39.78,26.76,22.08,84.28,30.45,19.19,27.92,24.52,31.9,-6.34,0.87,0.49,1.16,0.54,305.95,0.14
Acetech E-Commerce,,ACETEC,INE1J6M01010,Retailing,E-Retail/ E-Commerce,151.25,15.84,,,,,,,,,,,,,,,,,,247.81,0.02
Action Const.Eq.,532762,ACE,INE731H01025,"Agricultural, Commercial & Construction Vehicles",Construction Vehicles,806.55,32.53,17.34,18.7,55.07,44.86,29.49,38.43,57.26,49.67,34.03,52.99,34.32,55.85,-1.34,214.72,125.58,303.72,184.25,9604.65,0.08
Adani Total Gas,542066,ATGL,INE399L01023,Gas,LPG/CNG/PNG/LNG Supplier,527.3,11.74,20.27,,12.94,13.28,15.13,,8.75,8.72,-0.52,,22.47,,0,570.12,,843.15,,57992.99,0.45
ADC India,523411,,INE833A01016,Telecom -  Equipment & Accessories,Telecom -  Equipment & Accessories,1221,18.39,16.37,12.46,41.33,39.48,27.1,15.4,42.35,45.12,31.8,17.16,31.8,17.16,0,13.08,8.77,17.67,12.04,561.67,0
Adcounty Media.,544435,,INE0W1601012,Media,Web based media and service,109.7,61.51,,,89.35,65.84,,,-83.92,-62.22,,,,,,6.53,,8.86,,246.83,0.01
ADF Foods,519183,ADFFOODS,INE982B01027,Food Products,Packaged Foods,171.3,13.89,16.63,11.21,12.27,11.42,16.04,17.49,9.2,6.63,19.43,24.54,20.04,24.53,-0.46,57.58,39.61,78.53,55.79,1881.95,0.02
Aditya AMC,543374,ABSLAMC,INE404A01024,Capital Markets,Asset Management Company,925.7,16.94,5.94,,11.31,12.91,12.88,,11.35,-34.84,-22.59,,15.06,,-11.68,701.28,,932.73,,26734.77,0.02
Aditya Infotech,544466,CPPLUS,INE819V01029,Industrial Manufacturing,Industrial Products,1692.6,21.79,,,20.33,33.24,,,-66.4,-27.48,,,,,,102.99,,164.55,,19938.48,0.08
Ador Welding,517041,ADOR,INE045A01017,Industrial Products,Other Industrial Products,894.2,4.57,13.65,11.22,22.84,18.94,15.56,14.19,11.28,15.18,16.35,13.92,20.52,16.77,-3.17,,,,,1556.16,0
Advait Energy,543230,ADVAIT,INE0ALI01010,Industrial Products,Cables - Electricals,1644.9,47.6,,,71.68,60.09,,,77.15,114.82,,,,,-6.72,14.2,,24.19,,1799.1,0.27
Advance Agrolife,544562,ADVANCE,INE1B0W01010,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,93.5,18.26,,,43.79,,,,-34.18,,,,,,,16.65,,26.41,,601.05,0.47
Advanced Enzyme,540025,ADVENZYMES,INE837H01020,Pharmaceuticals & Biotechnology,Biotechnology,267.7,5.49,7.22,11.13,3.18,1.78,4.63,9.53,3.28,0.22,5.46,9.81,5.5,10.12,-6.83,129.65,114.88,186.58,170.32,2996.26,0.02
Advani Hotels.,523269,ADVANIHOTR,INE199C01026,Leisure Services,Hotels & Resorts,51.45,6.87,8.05,8.28,48.68,16.25,12.66,12.4,59.31,18.53,17.11,21.64,17.12,21.65,0,16.39,12.86,22.09,17.7,475.58,0.01
Aegis Logistics,500003,AEGISLOG,INE208C01025,Gas,Trading - Gas,600.15,-4,5.05,5.62,31.52,33.32,24.95,23.76,22.78,45.07,18,22.57,18.84,23.18,0.03,451.86,301.06,737.02,485.01,21065.27,0.41
Aegis Vopak Term,544407,AEGISVOPAK,INE0INX01018,Oil,Oil Storage & Transportation,176.5,34.77,,,847.67,,,,27.24,,,,,,,,,,,19556.05,0.42
Aelea Commoditi.,544213,,INE0T3401029,Agricultural Food & other Products,Other Agricultural Products,124.25,16.98,,,-7.68,,,,-96.11,,,,,,,7.53,,12.59,,253.1,0.01
Aeroflex,543972,AEROFLEX,INE024001021,Industrial Products,Iron & Steel Products,226.35,17.98,,,20.34,29.44,,,-30.05,2.42,,,,,,32.25,,48.19,,2995.32,0.03
Aeroflex Enter.,511076,AEROENTER,INE065D01027,Industrial Products,Iron & Steel Products,69.52,15.57,28.56,51.75,28.64,51.98,41.15,24.67,16.38,205.8,31.77,12.2,32.63,17.12,0,38.24,21.32,67.27,38.97,786.17,0.06
Aether Industri.,543534,AETHER,INE0BWX01014,Chemicals & Petrochemicals,Specialty Chemicals,1135.45,10.34,,,17.4,,,,9.36,,,,,,-12.09,,,,,15064.56,0.09
Afcom Holdings,544224,,INE0OXY01013,Transport Services,Logistics Solution Provider,720,74.84,,,92.77,,,,-2.65,,,,,,,17.22,,24.9,,1876.9,0.12
Affle 3i,542752,AFFLE,INE00WC01027,IT - Services,IT Enabled Services,1264.9,32.57,45.11,,26.6,43.75,43.52,,19.19,39.53,42.37,,45.37,,-4.94,254.48,,304.46,,17804.41,0.01
