Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Inventory turnover ratio 3Years back,Inventory turnover ratio 5Years back,Inventory turnover ratio 7Years back,Inventory turnover ratio 10Years back,Exports percentage 3Years back,Average 5years dividend,Exports percentage 5Years back,Average return on capital employed 3Years,Average return on capital employed 5Years,Average return on capital employed 7Years,Average return on capital employed 10Years,Average return on equity 7Years,Return on equity 5years growth,Average return on equity 10Years,OPM 5Year,OPM 10Year,Number of Shareholders 1year back,Average dividend payout 3years,Debtor days 3years back,Average debtor days 3years,Debtor days 5years back,Return on assets 5years,Return on assets 3years,Historical PE 3Years,Historical PE 10Years,Historical PE 5Years,Historical PE 7Years,Market Capitalization 3years back,Market Capitalization 5years back,Market Capitalization 7years back,Market Capitalization 10years back,Average Working Capital Days 3years,Change in FII holding 3Years,Change in DII holding 3Years,Is not SME,Market Capitalization,Debt to equity
20 Microns,533022,20MICRONS,INE144J01027,Minerals & Mining,Industrial Minerals,145.00,3.14,2.89,3.47,3.03,15.12,2.29,13.17,20.04,18.95,19.24,18.72,15.39,3.72,15.25,12.80,13.10,35584.00,7.09,59.64,55.63,56.61,8.12,9.42,11.67,9.94,10.34,9.62,260.59,90.16,173.26,120.38,39.46,-0.47,-0.06,1,511.65,0.36
3B Blackbio,532067,,INE994E01018,Healthcare Services,Healthcare Service Provider,1252.05,0.19,0.23,-0.04,2.36,35.24,4.55,25.49,21.89,50.86,44.74,35.62,29.42,-7.18,28.81,55.44,50.15,10166.00,7.82,135.68,172.34,251.97,31.27,14.71,24.33,16.34,18.64,13.43,256.21,54.47,85.64,5.29,208.60,0.46,1.87,1,1074.60,0.00
5paisa Capital,540776,5PAISA,INE618L01018,Capital Markets,Stockbroking & Allied,281.45,,,0.70,0.08,0.00,0.00,0.00,12.86,11.71,6.28,-4.75,8.18,27.58,5.73,26.29,20.33,58385.00,0.00,0.00,0.04,0.44,2.53,3.05,37.74,43.31,41.67,43.31,1533.00,435.90,782.60,,-876.06,-11.53,0.01,1,1319.51,0.46
63 Moons Tech.,526881,63MOONS,INE111B01023,IT - Software,Computers - Software & Consulting,501.60,,,224.22,1.33,1.12,6.64,1.46,2.02,0.75,0.25,0.33,-0.06,2.26,-0.48,-37.14,-53.75,48259.00,-23.02,91.99,30.57,80.51,0.02,0.61,15.16,23.47,15.98,29.05,1242.97,212.19,398.58,883.32,304.38,-4.13,-0.12,1,2311.27,0.00
Aarti Drugs,524348,AARTIDRUGS,INE767A01016,Pharmaceuticals & Biotechnology,Pharmaceuticals,333.55,3.81,3.77,4.30,4.69,34.44,12.03,31.38,14.52,19.70,19.43,18.92,18.62,-11.28,18.87,13.80,14.27,176006.00,5.45,109.98,110.93,98.75,9.61,6.99,25.79,21.06,24.17,23.49,3973.47,1170.41,1192.89,1574.53,73.88,0.25,6.22,1,3044.32,0.39
Aarti Pharma,543748,AARTIPHARM,INE0LRU01027,Pharmaceuticals & Biotechnology,Pharmaceuticals,625.55,2.87,,,,42.92,18.13,,16.72,17.38,17.38,17.38,,,,,,185111.00,12.85,114.57,95.36,,,9.31,25.58,25.58,25.58,25.58,,,,,102.82,,,1,5671.10,0.32
Aayush Art,540718,,INE777X01017,Textiles & Apparels,Other Textile Products,1106.00,2.06,0.61,3.38,,0.00,0.00,0.00,3.99,1.29,0.67,1.21,1.79,30.62,1.68,1.81,1.07,162.00,0.00,0.00,48.94,332.13,0.72,2.94,843.21,830.49,843.21,841.55,8.60,3.74,7.38,,303.59,0.00,0.00,0,1693.54,0.00
ABM Knowledge,531161,,INE850B01026,IT - Software,Software Products,202.00,,,,,,2.56,,9.26,10.71,11.61,11.61,8.08,-8.16,,21.04,,5461.00,18.27,151.23,181.77,144.28,6.91,6.11,20.00,13.21,16.86,13.73,213.82,67.61,155.92,159.50,199.59,-0.34,0.00,1,404.05,0.00
ACC,500410,ACC,INE012A01025,Cement & Cement Products,Cement & Cement Products,1346.25,5.73,4.98,3.46,3.47,0.03,361.88,0.02,14.70,15.83,16.33,15.35,12.54,1.43,11.74,14.28,14.23,194430.00,10.52,10.45,16.31,14.61,8.44,7.92,22.31,24.36,22.29,21.40,41608.97,27147.47,33020.52,26287.17,20.25,-5.96,2.73,1,25280.88,0.02
Accelya Solution,532268,ACCELYA,INE793A01012,IT - Software,Computers - Software & Consulting,1160.20,,,,,100.00,99.73,,55.59,45.24,51.92,65.55,39.04,3.03,43.52,36.54,37.58,34269.00,94.71,67.45,58.75,67.47,25.12,30.67,18.01,20.16,20.33,18.85,1307.77,1373.22,1737.12,1491.88,37.02,0.10,-1.22,1,1731.75,0.33
