Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Debt,Equity capital,Preference capital,Reserves,Secured loan,Unsecured loan,Balance sheet total,Gross block,Revaluation reserve,Accumulated depreciation,Net block,Capital work in progress,Investments,Current assets,Current liabilities,Book value of unquoted investments,Market value of quoted investments,Contingent liabilities,Total Assets,Working capital,Lease liabilities,Inventory,Trade receivables,Face value,Cash Equivalents,Advance from Customers,Trade Payables,Number of equity shares preceding year,Debt preceding year,Working capital preceding year,Net block preceding year,Gross block preceding year,Capital work in progress preceding year,Working capital 3Years back,Working capital 5Years back,Working capital 7Years back,Working capital 10Years back,Debt 3Years back,Debt 5Years back,Debt 7Years back,Debt 10Years back,Net block 3Years back,Net block 5Years back,Net block 7Years back,Market Capitalization,Debt to equity
20 Microns,533022,20MICRONS,INE144J01027,Minerals & Mining,Industrial Minerals,146.50,163.37,17.64,0.00,437.42,82.32,39.05,741.76,366.29,0.00,154.06,282.61,20.63,24.77,395.66,222.02,0.00,0.00,17.73,741.76,173.64,11.99,158.02,146.85,5.00,58.35,2.97,60.78,3.53,121.37,142.46,212.23,366.29,12.26,68.21,34.21,16.33,-8.17,122.96,119.17,133.68,164.62,207.13,200.67,184.90,516.94,0.36
3B Blackbio,532067,,INE994E01018,Healthcare Services,Healthcare Service Provider,1257.00,0.27,8.57,0.00,289.65,0.00,0.31,340.83,15.01,0.00,7.79,17.25,0.00,160.16,163.39,26.14,0.00,0.00,0.20,340.83,137.25,0.00,22.93,50.47,10.00,72.13,0.00,5.16,0.86,0.85,105.87,7.40,14.11,0.00,64.64,31.17,17.65,9.43,2.53,3.52,5.80,7.50,6.61,3.87,3.75,1078.85,0.00
5paisa Capital,540776,5PAISA,INE618L01018,Capital Markets,Stockbroking & Allied,281.30,290.55,31.24,0.00,595.84,217.42,0.00,1752.40,47.44,0.00,27.50,17.12,0.00,4.34,1363.57,833.40,7.85,0.00,522.12,1752.40,530.17,0.00,0.00,0.76,10.00,1281.23,0.00,0.31,4.68,336.32,663.61,24.45,43.25,0.41,363.01,132.99,10.71,14.04,278.98,219.19,16.15,14.83,10.35,8.21,2.13,1318.81,0.46
63 Moons Tech.,526881,63MOONS,INE111B01023,IT - Software,Computers - Software & Consulting,502.65,5.30,9.22,0.00,3484.65,0.00,2.85,3869.06,699.40,0.00,349.77,337.63,0.00,760.77,2564.69,258.43,6.50,0.00,683.22,3869.06,2306.26,2.84,0.00,3.77,2.00,1862.21,0.11,13.27,4.61,5.17,1403.55,369.30,690.45,0.52,1455.59,1423.46,988.83,609.13,0.28,0.00,101.14,485.67,381.56,380.91,362.38,2316.11,0.00
Aarti Drugs,524348,AARTIDRUGS,INE767A01016,Pharmaceuticals & Biotechnology,Pharmaceuticals,334.75,573.49,91.27,0.00,1377.03,496.27,118.81,2612.27,1495.69,0.00,629.58,1078.34,179.14,22.54,1312.40,782.85,0.00,0.00,267.22,2612.27,529.55,2.32,470.04,719.60,10.00,9.57,34.41,376.80,9.19,564.28,525.18,811.09,1388.16,260.87,453.31,276.26,115.19,44.44,542.82,388.64,546.25,447.91,689.93,643.81,602.39,3055.28,0.39
Aarti Pharma,543748,AARTIPHARM,INE0LRU01027,Pharmaceuticals & Biotechnology,Pharmaceuticals,624.80,658.78,45.32,0.00,2000.89,396.35,16.76,3265.90,1795.66,0.00,659.09,1514.98,160.50,187.35,1326.30,810.62,0.00,38.89,13.91,3265.90,515.68,69.91,620.59,470.08,5.00,55.56,13.52,285.40,9.06,285.25,580.86,1033.33,1609.29,136.92,447.49,,,,341.40,,,,782.09,,,5664.30,0.32
Aayush Art,540718,,INE777X01017,Textiles & Apparels,Other Textile Products,1108.90,0.00,15.31,0.00,37.94,0.00,0.00,76.47,0.50,0.00,0.33,0.17,0.00,0.00,68.02,23.21,0.00,0.00,0.00,76.47,44.81,0.00,9.85,56.88,10.00,0.69,0.03,22.12,1.24,0.00,15.30,0.12,0.40,0.00,3.87,7.09,6.22,2.71,0.00,0.00,0.00,0.00,0.11,0.15,0.22,1697.97,0.00
ABM Knowledge,531161,,INE850B01026,IT - Software,Software Products,210.20,0.00,10.00,0.00,227.61,0.00,0.00,277.12,75.31,0.00,21.12,53.56,0.00,112.93,179.06,21.15,0.00,88.25,19.89,277.12,157.91,0.00,0.00,47.88,5.00,22.52,0.03,0.32,2.00,0.00,72.29,52.95,70.84,0.00,68.25,43.09,66.95,,0.00,0.00,0.00,,52.31,51.43,49.87,420.45,0.00
ACC,500410,ACC,INE012A01025,Cement & Cement Products,Cement & Cement Products,1349.95,485.44,187.99,0.00,19745.36,0.00,429.77,26501.24,17316.72,0.00,6487.26,11285.53,1941.27,50.96,10396.97,5154.63,0.00,0.00,3494.92,26501.24,5242.34,485.44,1985.75,3678.49,10.00,292.39,177.86,2001.25,18.78,354.85,2870.58,10025.27,15359.97,985.81,4362.03,2836.34,862.26,-1427.00,125.58,0.00,0.00,0.00,6749.75,7026.73,7280.06,25350.36,0.02
Accelya Solution,532268,ACCELYA,INE793A01012,IT - Software,Computers - Software & Consulting,1160.25,86.86,14.93,0.00,247.90,0.00,62.03,461.56,315.29,0.00,233.48,143.53,0.04,47.33,274.61,144.26,0.00,0.00,6.95,461.56,130.35,86.86,0.00,60.57,10.00,71.27,0.00,39.68,1.49,33.45,158.36,63.06,288.66,6.11,104.99,109.46,63.18,-3.35,24.96,49.46,0.00,0.00,101.36,136.84,69.11,1731.82,0.33
