Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Cash from operations last year,Free cash flow last year,Cash from investing last year,Cash from financing last year,Net cash flow last year,Cash end of last year,Cash beginning of last year,Cash end of preceding year,Cash beginning of preceding year,Net cash flow preceding year,Cash from financing preceding year,Cash from investing preceding year,Cash from operations preceding year,Free cash flow preceding year,Free cash flow 3years,Free cash flow 5years,Free cash flow 7years,Free cash flow 10years,Operating cash flow 3years,Operating cash flow 5years,Operating cash flow 7years,Operating cash flow 10years,Investing cash flow 10years,Investing cash flow 7years,Investing cash flow 5years,Investing cash flow 3years,Cash 3Years back,Cash 5Years back,Cash 7Years back,Market Capitalization,Debt to equity
20 Microns,533022,20MICRONS,INE144J01027,Minerals & Mining,Industrial Minerals,145.00,31.79,-43.53,-63.26,14.02,-17.45,40.35,48.75,60.30,20.28,28.46,-2.86,-23.11,54.44,34.82,43.03,96.49,159.77,254.64,149.43,236.80,334.88,465.35,-203.58,-171.00,-136.34,-104.04,16.83,8.45,8.77,511.65,0.36
3B Blackbio,532067,,INE994E01018,Healthcare Services,Healthcare Service Provider,1255.05,43.36,42.46,-33.45,-3.22,6.68,68.83,62.15,62.15,59.21,2.94,-3.63,-20.38,26.95,26.44,87.16,218.07,227.42,229.33,90.59,225.44,236.05,239.60,-140.27,-138.82,-137.49,-38.79,28.89,9.38,1.58,1077.18,0.00
5paisa Capital,540776,5PAISA,INE618L01018,Capital Markets,Stockbroking & Allied,281.65,98.00,90.63,-7.08,-141.49,-50.56,1335.95,70.62,1636.69,20.11,50.51,154.20,-12.44,-91.24,-110.11,-7.43,-151.85,-386.61,-475.84,31.72,-103.25,-326.64,-413.12,12.55,-3.84,-45.04,-28.23,1199.98,270.47,27.92,1320.45,0.46
63 Moons Tech.,526881,63MOONS,INE111B01023,IT - Software,Computers - Software & Consulting,502.65,-142.78,-154.05,-47.75,164.70,-25.83,1925.25,95.85,1282.82,126.93,-31.08,21.73,-99.97,47.16,41.67,-61.32,-228.66,-422.75,-799.13,-24.91,-162.51,-281.45,-613.45,1002.59,-192.05,-81.11,-216.12,1325.62,1227.85,799.99,2316.11,0.00
Aarti Drugs,524348,AARTIDRUGS,INE767A01016,Pharmaceuticals & Biotechnology,Pharmaceuticals,332.55,244.58,67.47,-164.63,-82.12,-2.17,7.56,6.74,9.43,7.50,-0.76,-136.03,-223.65,358.92,132.78,168.90,164.97,458.59,555.11,736.82,962.18,1356.01,1733.83,-1147.86,-868.55,-773.67,-552.25,22.33,7.64,4.27,3035.20,0.39
Aarti Pharma,543748,AARTIPHARM,INE0LRU01027,Pharmaceuticals & Biotechnology,Pharmaceuticals,624.10,331.56,-112.32,-413.90,65.44,-16.90,8.65,23.63,24.07,12.12,11.51,9.72,-214.56,216.35,17.56,35.70,-149.15,,,798.03,754.33,,,,,-925.00,-786.26,83.27,,,5657.95,0.32
Aayush Art,540718,,INE777X01017,Textiles & Apparels,Other Textile Products,1108.50,-40.43,-40.53,13.44,26.35,-0.64,0.77,1.41,1.41,0.37,1.04,14.55,-13.76,0.25,0.24,-36.91,-38.06,-37.09,-41.34,-36.74,-37.87,-36.90,-40.82,-6.99,-5.81,-4.77,-6.20,0.34,0.05,0.13,1697.36,0.00
ABM Knowledge,531161,,INE850B01026,IT - Software,Software Products,210.20,23.67,18.72,-14.63,-2.78,6.26,28.08,7.58,16.95,7.22,0.36,-2.76,-4.20,7.33,3.33,25.47,41.07,89.15,,37.41,58.35,110.18,,,-78.65,-36.57,-35.78,27.54,7.16,5.20,420.45,0.00
ACC,500410,ACC,INE012A01025,Cement & Cement Products,Cement & Cement Products,1346.20,1711.48,-241.65,-1262.48,-1002.26,-553.26,1649.27,1603.95,1862.87,256.63,1347.32,-443.15,-1204.64,2995.11,1646.16,-1811.54,1341.95,3722.18,5982.10,3471.51,8526.19,11898.44,16299.05,-11127.81,-9311.79,-8627.03,-7104.29,7522.40,4647.73,2728.55,25279.94,0.02
Accelya Solution,532268,ACCELYA,INE793A01012,IT - Software,Computers - Software & Consulting,1160.20,144.56,125.66,-7.79,-146.10,-9.33,79.03,41.05,106.03,44.71,-3.66,-94.33,-65.47,156.14,143.24,396.43,565.42,711.43,943.43,434.17,639.08,856.93,1140.81,-252.45,-206.68,-142.77,-59.72,64.43,60.49,28.01,1731.75,0.33
Accent Microcell,,ACCENTMIC,INE0Q5D01013,Pharmaceuticals & Biotechnology,Pharmaceuticals,358.40,24.67,-12.15,-8.61,-13.70,2.37,51.02,1.58,72.49,0.31,1.26,72.27,-82.34,11.33,-1.99,-10.65,0.24,5.53,,43.57,63.48,74.48,,,-111.26,-105.56,-94.99,2.83,3.62,,859.77,0.00
Ace Soft. Exp.,531525,,INE849B01010,IT - Software,Software Products,190.50,-9.79,-33.54,-15.18,50.15,25.18,38.28,5.07,5.07,0.31,4.76,12.68,-4.59,-3.32,-3.80,-34.88,-32.48,-42.76,-41.20,-13.89,-12.02,-17.29,-13.75,-20.45,-16.85,-19.12,-16.94,0.55,0.88,0.30,305.15,0.14
Acetech E-Commerce,,ACETEC,INE1J6M01010,Retailing,E-Retail/ E-Commerce,154.95,-1.06,-1.08,0.84,-2.10,-2.31,,2.63,,0.94,1.69,1.98,0.18,-0.48,-0.51,-1.14,,,,-1.09,,,,,,,0.09,,,,253.87,0.02
Action Const.Eq.,532762,ACE,INE731H01025,"Agricultural, Commercial & Construction Vehicles",Construction Vehicles,805.00,411.98,206.46,-382.36,-28.99,0.64,55.47,48.21,110.41,21.48,26.73,-38.66,-368.04,433.42,268.14,712.49,841.76,900.61,1052.71,1119.68,1309.26,1429.28,1652.35,-1309.45,-1231.88,-1185.62,-967.91,14.31,9.27,10.83,9586.20,0.08
Adani Total Gas,542066,ATGL,INE399L01023,Gas,LPG/CNG/PNG/LNG Supplier,527.20,963.87,23.02,-933.36,56.35,86.86,468.75,137.16,456.11,12.04,125.12,-77.73,-752.28,955.13,155.89,-143.61,-314.71,-148.44,,2771.85,4157.46,5005.96,,,-4425.69,-4755.71,-2852.23,34.32,89.47,24.48,57982.00,0.45
ADC India,523411,,INE833A01016,Telecom -  Equipment & Accessories,Telecom -  Equipment & Accessories,1225.00,25.93,25.93,2.22,-25.32,2.83,59.37,44.81,44.77,25.58,19.01,-1.83,1.41,19.43,19.43,41.12,54.07,61.18,67.58,41.12,54.12,61.88,68.47,12.33,7.66,5.47,4.34,35.51,23.62,29.84,563.51,0.00
Adcounty Media.,544435,,INE0W1601012,Media,Web based media and service,107.00,-0.24,-0.29,-4.09,3.58,-0.74,8.21,4.46,4.52,0.33,4.13,-0.33,-0.09,4.54,4.40,5.46,,,,5.75,,,,,,,-8.35,2.83,3.21,,240.75,0.01
ADF Foods,519183,ADFFOODS,INE982B01027,Food Products,Packaged Foods,170.30,37.42,-3.69,-38.95,-21.06,-22.60,66.01,59.69,67.78,39.88,19.81,-63.41,13.39,69.84,54.53,74.81,106.71,142.82,191.41,157.78,227.42,278.06,334.55,-186.27,-187.00,-146.83,-85.63,77.60,36.71,31.63,1870.96,0.02
Aditya AMC,543374,ABSLAMC,INE404A01024,Capital Markets,Asset Management Company,918.45,708.48,678.22,-304.98,-398.92,4.58,103.41,39.10,84.82,33.61,5.49,-168.61,-510.74,684.84,654.76,1751.68,2800.45,3576.57,,1830.67,2906.10,3718.45,,,-1592.00,-1588.34,-950.03,97.93,46.89,44.28,26525.38,0.02
Aditya Infotech,544466,CPPLUS,INE819V01029,Industrial Manufacturing,Industrial Products,1694.10,27.21,0.96,88.21,-18.95,96.46,181.87,39.47,70.64,147.65,-108.18,-44.26,116.49,-180.41,-186.83,-137.16,159.05,,,-97.44,208.31,,,,,-2.44,82.80,200.80,36.89,,19956.15,0.08
Ador Welding,517041,ADOR,INE045A01017,Industrial Products,Other Industrial Products,894.20,137.11,97.55,-17.37,-93.50,26.24,67.11,4.04,47.20,8.65,-4.61,-19.30,-43.60,58.29,16.49,,,,,,,,,,,,,7.63,6.56,17.47,1556.16,0.00
Advait Energy,543230,ADVAIT,INE0ALI01010,Industrial Products,Cables - Electricals,1635.00,46.47,32.43,-93.95,99.53,52.05,96.06,44.00,42.97,17.99,24.98,43.60,-8.22,-10.40,-19.40,18.23,15.41,6.58,,48.82,60.00,64.53,,,-134.65,-122.20,-109.40,10.49,8.52,,1788.26,0.27
Advance Agrolife,544562,ADVANCE,INE1B0W01010,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,93.30,5.71,-27.90,-33.87,28.28,0.12,1.92,0.46,0.92,0.07,0.39,16.63,-31.08,14.84,-15.31,-45.24,-46.27,,,26.72,34.52,,,,,-81.89,-72.96,0.47,,,599.77,0.47
