Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Price to Sales,Price to Free Cash Flow,EVEBITDA,Current ratio,Interest Coverage Ratio,PEG Ratio,Working Capital to Sales ratio,QoQ Profits,QoQ Sales,Net worth,Market Cap to Sales,Interest Coverage,Enterprise Value to EBIT,Debt Capacity,Debt To Profit,Total Capital Employed,Dividend Payout,Graham,ROCE3yr avg,Market Capt to Cash Flow,Market Capitalization,Debt to equity
20 Microns,533022,20MICRONS,INE144J01027,Minerals & Mining,Industrial Minerals,145.00,0.56,35.69,4.97,1.78,5.77,0.34,18.87,-14.34,-6.92,455.06,0.56,5.77,5.94,0.09,2.61,476.88,7.07,230.19,20.04,16.09,511.65,0.36
3B Blackbio,532067,,INE994E01018,Healthcare Services,Healthcare Service Provider,1255.00,8.35,37.15,13.13,6.25,416.89,1.34,106.41,49.20,48.53,298.22,8.35,416.89,13.40,0.34,0.01,154.50,7.19,723.28,21.89,24.84,1077.13,0.00
5paisa Capital,540776,5PAISA,INE618L01018,Capital Markets,Stockbroking & Allied,282.00,4.33,-534.02,3.44,1.64,3.03,0.46,173.59,30.30,2.73,627.08,4.33,3.03,3.82,0.75,4.27,547.29,0.00,166.66,12.86,13.49,1322.09,0.46
63 Moons Tech.,526881,63MOONS,INE111B01023,IT - Software,Computers - Software & Consulting,501.60,25.27,-113.13,-5.50,9.92,-85.27,,2521.05,29.02,30.77,3493.87,25.27,-85.27,-4.01,1.12,-0.11,2643.89,-16.68,,2.02,-16.19,2311.27,0.00
Aarti Drugs,524348,AARTIDRUGS,INE767A01016,Pharmaceuticals & Biotechnology,Pharmaceuticals,333.55,1.21,54.09,11.63,1.68,7.10,-2.35,21.00,-10.21,-7.82,1468.30,1.21,7.10,14.64,0.02,3.41,1787.03,5.43,283.45,14.52,12.45,3044.32,0.39
Aarti Pharma,543748,AARTIPHARM,INE0LRU01027,Pharmaceuticals & Biotechnology,Pharmaceuticals,627.05,3.16,477.93,14.97,1.64,8.77,0.86,28.64,71.78,3.33,2046.21,3.16,8.77,19.59,0.00,2.42,2191.16,16.64,346.06,16.72,17.15,5684.70,0.32
Aayush Art,540718,,INE777X01017,Textiles & Apparels,Other Textile Products,1106.00,17.84,-137.54,643.67,2.93,,10.23,47.21,-76.28,1.12,53.25,17.84,,658.70,-0.01,0.00,44.98,0.00,31.40,3.99,-41.89,1693.54,0.00
ABM Knowledge,531161,,INE850B01026,IT - Software,Software Products,202.00,3.95,47.59,17.14,8.47,64.82,-44.39,154.34,124.29,39.22,237.61,3.95,64.82,21.02,0.44,0.00,211.47,17.79,123.38,9.26,17.07,404.05,0.00
ACC,500410,ACC,INE012A01025,Cement & Cement Products,Cement & Cement Products,1347.70,1.03,-41.91,6.89,2.02,26.37,1.52,21.23,-63.88,7.97,19933.35,1.03,26.37,9.81,0.26,0.20,18469.14,5.87,1835.80,14.70,14.79,25308.11,0.02
Accelya Solution,532268,ACCELYA,INE793A01012,IT - Software,Computers - Software & Consulting,1157.00,3.21,13.05,8.63,1.90,25.98,0.81,24.25,-52.92,-2.40,262.83,3.21,25.98,10.63,0.25,0.67,273.92,104.15,534.79,55.59,11.95,1726.97,0.33
